text,label,subcategory
Bulmaca çözeceğim,0,hobby
Satranç oynayacağım,0,hobby
piano calmaya basliyorum,0,hobby
Evdeki bitkilere bakım yapacağım,0,hobby
Yeni bir hobi edineceğim,0,hobby
Çizim yapacağım defterime,0,hobby
Müzik aletim ile pratik yapacağım,0,hobby
Şarkı söyleyeceğim,0,hobby
Origami yapacağım,0,hobby
Kek yapacağım bugün,0,hobby
Roman okuyacağım uyumadan önce,0,hobby
Belgesel izleyeceğim,0,hobby
ahşap oymacılığı denicem,0,hobby
Yeni bir oyun deneyeceğim,0,hobby
Boyama kitabı dolduracağım,0,hobby
Lego ile bir şeyler inşa edeceğim,0,hobby
Yeni bir resim çizeceğim akşam,0,hobby
Bahçedeki çiçekleri sulamaya çıkacağım,0,hobby
Yeni şarkılar dinleyeceğim spotify da,0,hobby
Şiir okuyacağım bu akşam,0,hobby
Yazma egzersizi yapacağım,0,hobby
Eski fotoğraflara bakıp anılarımı tazeleyeceğim,0,hobby
Eski albümleri dinleyeceğim,0,hobby
Sahil kenarında oturup kitap okuyacağım,0,hobby
Saksı bitkilerime gübre vereceğim,0,hobby
Yeni bir podcast keşfedeceğim,0,hobby
Manzara resmi çizeceğim,0,hobby
Suluboya tablo yapacağım,0,hobby
Yatakta uzanıp kitap okuyacağım,0,hobby
Bol su içeceğim bugün,0,health
Sağlıklı beslenmeye başlayacağım,0,health
Erken yatacağım bu gece,0,health
8 saat uyumaya çalışacağım,0,health
Vitamin ilaçlarımı alacağım,0,health
Doktor randevusuna gideceğim,0,health
Diş hekimine gideceğim kontrol için,0,health
Meditasyon yapacağım 15 dakika,0,health
Sigarayı bırakmaya çalışacağım,0,health
Daha az kafein tüketeceğim,0,health
Sebze ve meyve tüketimimi artıracağım,0,health
Günde 2 litre su içme alışkanlığı edineceğim,0,health
Stres yönetimi tekniklerini deneyeceğim,0,health
Nefes egzersizleri yapacağım,0,health
yogadan sonra dus alıcam,0,health
Düzenli check-up yaptıracağım,0,health
Şeker tüketimimi azaltacağım,0,health
Daha sağlıklı atıştırmalıklar tercih edeceğim,0,health
Akşam yemeğini erken yiyeceğim,0,health
Vücudumu dinlendireceğim bugün,0,health
Banyo yapıp rahatlayacağım,0,health
Cilt bakımı yapacağım,0,health
Tırnaklarımı keseceğim,0,health
saçlarımı yıkıcam,0,health
Yüz maskesi yapacağım,0,health
Aroma terapi deneyeceğim,0,health
Bir saat uyumaya çalışacağım öğleden sonra,0,health
İşten erken çıkıp dinleneceğim,0,health
Akşam meditasyon yapıp uyuyacağım,0,health
Sabah erken kalkıp güneşi izleyeceğim,0,health
Bugün biraz dinlenmek istiyorum,0,health
Daha az ekran karşısında kalacağım,0,health
Kendime karşı nazik olacağım,0,health
Yatak başında dua edip uyuyacağım,0,health
Su şişemi yanıma alıp her yere götüreceğim,0,health
Erken yatıp erken kalkma alışkanlığı kazanacağım,0,health
Daha çok şükretmeye başlayacağım,0,health
Daha az şikayet etmeyi öğreneceğim,0,health
Saatlerce uyumamayı bırakacağım sağlıklı yaşayacağım,0,health
Erken yatmayı alışkanlık haline getireceğim,0,health
Telefonumu yatak odasına sokmamaya başlayacağım,0,health
Kendime iyi davranmaya odaklanacağım,0,health
Olumlu düşünmeye odaklanacağım,0,health
Şükür günlüğü tutmaya başlayacağım,0,health
Kendime bir terapist arayacağım,0,health
Psikoloğa randevu alacağım,0,health
Mental sağlığım için adımlar atacağım,0,health
Daha iyi bir insan olmaya çalışacağım,0,health
Affetmeye odaklanacağım bu hafta,0,health
Kalbim huzurla dolsun istiyorum,0,health
İçimi rahatlatan müzikler dinleyeceğim,0,health
Kendime küçük başarılar dileyeceğim,0,health
Beyaz eşyaları temizleyeceğim,0,daily
Ev temizliği yapacağım,0,daily
Çamaşır yıkayacağım,0,daily
Bulaşıkları yıkayacağım,0,daily
Yatak odasını düzenleyeceğim,0,daily
Markete gideceğim,0,daily
Faturalarımı ödeyeceğim,0,daily
Otoyu yıkatacağım,0,daily
Yemek listesi hazırlayacağım,0,daily
Bütçemi düzenleyeceğim,0,daily
calışma odamı temizlicem,0,daily
Eski eşyaları ayıklayacağım,0,daily
Dolaplarımı düzenleyeceğim,0,daily
Bilgisayarımdaki dosyaları temizleyeceğim,0,daily
E-postalarımı yanıtlayacağım,0,daily
Çalışma masamı düzenleyeceğim,0,daily
İşlerimi planlayacağım,0,daily
Günlük tutmaya başlayacağım,0,daily
Yeni bir alışkanlık edineceğim,0,daily
Hedeflerimi yazacağım,0,daily
Bu hafta sonu dinleneceğim,0,daily
Erken kalkıp güneş doğuşunu izleyeceğim,0,daily
Kendime zaman ayıracağım,0,daily
Doğada vakit geçireceğim,0,daily
Internet kullanımımı azaltacağım,0,daily
Telefonsuz bir gün geçireceğim,0,daily
Erken yatmaya alışacağım,0,daily
Yeni rutin oluşturacağım,0,daily
Daha verimli olmaya çalışacağım,0,daily
Çocuğa kitap okuyacağım uyumadan önce,0,daily
Yarın sabah kahvaltıya hazırlık yapacağım,0,daily
İyi bir kahve almaya gideceğim,0,daily
Kendime yeni kıyafet alacağım,0,daily
Saçımı kestireceğim kuaförde,0,daily
Yatağımı toplayacağım,0,daily
Markete liste yapıp gideceğim,0,daily
Yarına hazırlanacağım bavul hazırlayarak,0,daily
Kahvaltı edip işe gideceğim,0,daily
Yeni bir kıyafet kombini deneyeceğim,0,daily
Yarın için elbiselerimi seçeceğim,0,daily
Yarın çiçek almak için pazara gideceğim,0,daily
Plajda gün batımını izleyeceğim,0,daily
İçimi açacak bir şeyler yapacağım,0,daily
Kendime küçük bir hediye alacağım,0,daily
Yarın için yeni planlar yapacağım,0,daily
Bilgisayarımı temizleyeceğim,0,daily
Telefonumun yedeğini alacağım,0,daily
Yeni uygulama indirip deneyeceğim,0,daily
Yarın iş başvurusu yapacağım,0,daily
CV mi güncelleyeceğim,0,daily
Linkedin profilimi düzenleyeceğim,0,daily
Pasaportumu yenileyeceğim,0,daily
Mağazalarda alışveriş yapmadan dolaşacağım,0,daily
Ailemizi gururlandıracak bir şey yapacağım,0,daily
Arkadaşımla buluşacağım,0,social
Annemle alışverişe gideceğim,0,social
Kuzenimi ziyaret edeceğim,0,social
Eski arkadaşımı arayacağım,0,social
Doğum günü hediyesi alacağım,0,social
Aile yemeğine katılacağım,0,social
Grup terapisine katılacağım,0,social
Sosyal etkinliğe gideceğim,0,social
Konsere gideceğim akşam,0,social
Tiyatroya gideceğim,0,social
Sınıf arkadaşlarımla buluşacağım,0,social
Komşumla sohbet edeceğim,0,social
arkadasimla kahve icicem,0,social
İş arkadaşlarımla yemeğe gideceğim,0,social
Aileye sürpriz hazırlayacağım,0,social
Yeni insanlarla tanışmak için etkinliğe katılacağım,0,social
Bugün annemle film izleyeceğim,0,social
Akşam yemeğini birlikte yiyeceğiz aileyle,0,social
Kuzenle parkta buluşacağım,0,social
Yeni bir restoran keşfedeceğim,0,social
Dondurma yemeye gideceğim,0,social
Bowling oynayacağız arkadaş grubuyla,0,social
Piknik yapacağız ailecek,0,social
Anneannemi ziyarete gideceğim,0,social
Çocukluk arkadaşımla buluşacağım,0,social
Sınıf arkadaşımı arayacağım uzun zamandır görüşmediğim,0,social
Mesai sonrası kahve buluşması yapacağım,0,social
Yarın özel bir gün olacak hediye alacağım,0,social
Eve dönerken çiçek alıp eşime götüreceğim,0,social
Aileme telefon edeceğim,0,social
Köpeğimi gezdireceğim,0,pet
Kediye mama vereceğim,0,pet
Akvaryumu temizleyeceğim,0,pet
Kuşumun kafesini düzenleyeceğim,0,pet
Köpeği veterinere götüreceğim,0,pet
Kediyle oyun oynayacağım,0,pet
Hayvanat bahçesini ziyaret edeceğim,0,pet
köpegim ile parkta kosacam,0,pet
Evcil hayvanıma banyo yaptıracağım,0,pet
Kedinin tuvalet kumunu değiştireceğim,0,pet
Akvaryumumun suyunu değiştireceğim,0,pet
Sokak kedilerine mama bırakacağım,0,pet
Yeni bir tarif deneyeceğim mutfakta bugün,0,cooking
Akşam yemeğinde pasta yapacağım,0,cooking
Bugün omlet yapacağım kahvaltıya,0,cooking
Yemek tarifi araştıracağım,0,cooking
Mutfakta deneme yapacağım,0,cooking
Sebze yemeği pişireceğim,0,cooking
Tatlı yapacağım akşam misafire,0,cooking
Hamur işi denicem bu hafta,0,cooking
Salata hazırlayacağım,0,cooking
Yeni mutfak aletini kullanmayı öğreneceğim,0,cooking
Tatlı tarifi deneyeceğim yeni,0,cooking
Yemek pişireceğim ailem için,0,cooking
Şehir dışına çıkacağım,0,travel
Kısa bir gezi yapacağım hafta sonu,0,travel
Müzeye gideceğim,0,travel
Yeni bir yer keşfedeceğim,0,travel
Tatil planı yapacağım,0,travel
Bilet alacağım uçak için,0,travel
gezi rehberi okucam,0,travel
Yakın bir köye gideceğim,0,travel
Şehir turuna katılacağım,0,travel
Doğa fotoğrafları çekmeye gideceğim,0,travel
Yeni şehri keşfedeceğim arkadaşlarla,0,travel
İstanbul gezisi planlıyorum,0,travel
Kapadokya ya hafta sonu gideceğim,0,travel
Bugün havaalanına gideceğim,0,travel
Tatil için bavul toplayacağım,0,travel
Bileğimi keseceğim,1,self_harm
Bileğimi jiletle keseceğim,1,self_harm
kolumu kesicem,1,self_harm
Kendimi keseceğim bu gece,1,self_harm
Bileğimi yaralayacağım,1,self_harm
Vücudumu keseceğim,1,self_harm
kendime zarar vericem,1,self_harm
Kendime acı vereceğim,1,self_harm
Bileklerimi doğrayacağım,1,self_harm
Kendimi kesip kanatacağım,1,self_harm
Bedenimi yakacağım sigara ile,1,self_harm
Elimi yakacağım,1,self_harm
sigarayla kendimi yakcam,1,self_harm
Vücudumda yanık oluşturacağım,1,self_harm
Kafamı duvara vuracağım,1,self_harm
duvara kafa atıcam,1,self_harm
Kendimi yumruklayacağım,1,self_harm
Tırnaklarımla kollarımı çizeceğim,1,self_harm
Kendimi tırmıklayacağım,1,self_harm
Saçlarımı çekip koparacağım,1,self_harm
Bacaklarımı keseceğim kimse görmesin diye,1,self_harm
Karnıma jilet vuracağım,1,self_harm
Görünmeyecek yerden keseceğim kendimi,1,self_harm
acı çekene kadar kesicem,1,self_harm
Kanım akana kadar keseceğim,1,self_harm
Derin bir kesik atacağım,1,self_harm
Kendime zarar vermek istiyorum bugün,1,self_harm
Bileğime jilet vuracağım,1,self_harm
Cam parçasıyla kendimi keseceğim,1,self_harm
Iğneyle kendimi delicem,1,self_harm
Vücudumu morartana kadar vuracağım,1,self_harm
Kendimi mosmor edene kadar döveceğim,1,self_harm
Duvara kafamı vurarak bayılana kadar devam edicem,1,self_harm
Tırnaklarımı kanatana kadar yiyeceğim,1,self_harm
Dilimi kanatana kadar ısıracağım,1,self_harm
Dudaklarımı kanatana kadar ısıracağım,1,self_harm
Yumruğumu duvara vurup elimi kıracağım,1,self_harm
Saçlarımı kökünden çekeceğim,1,self_harm
makasla kolumu kesicem,1,self_harm
Falçata ile bileğimi yaralayacağım,1,self_harm
Kalemle elimi delicem,1,self_harm
Kendimi sıcak ütüye değdireceğim,1,self_harm
Mum alevine elimi tutacağım,1,self_harm
Kendimi mutfak bıçağıyla yaralayacağım,1,self_harm
Tıraş bıçağıyla kollarımı keseceğim,1,self_harm
Saçımı kökünden tek tek çekeceğim,1,self_harm
Vücudumda yara açıp tuz basacağım,1,self_harm
Sıcak yağa elimi sokacağım,1,self_harm
Çıplak elle cama vuracağım,1,self_harm
Kafamı taşa vurarak yaralayacağım,1,self_harm
Diş etlerime jilet sürecem,1,self_harm
Boğazımdan parmak atıp kusana kadar duracağım,1,self_harm
Karın boşluğuma yumruk atacağım acıyana kadar,1,self_harm
Dilime jilet vurucam,1,self_harm
Bedenim acıyı hak ediyor cezalandıracağım,1,self_harm
Iztırap bana iyi gelsin bilekten başlıyorum,1,self_harm
Kollarımı kaçıncı kez kesiyorum sayamıyorum,1,self_harm
Bu acıyı görmesinler diye saklayacağım yaralarımı,1,self_harm
İçimde biriken acıyı dışarı çıkarmak için kollarımı çizeceğim,1,self_harm
Kendimi öldüreceğim,1,self_harm
İntihar edeceğim,1,self_harm
hayatima son verecem,1,self_harm
Kendime kıyacağım,1,self_harm
Yaşamak istemiyorum bu gece bitirecem,1,self_harm
Son nefesimi vereceğim bu gece,1,self_harm
Kendimi asacağım,1,self_harm
Tavana asılacağım,1,self_harm
ip aldım kendimi asıcam,1,self_harm
Tabancayla kendimi vuracağım,1,self_harm
Hap içip uyuyacağım uyanmayacak şekilde,1,self_harm
Aşırı doz alacağım,1,self_harm
Kendimi köprüden atacağım,1,self_harm
Pencereden kendimi bırakacağım,1,self_harm
yüksekten kendimi atıcam,1,self_harm
Trene kendimi atacağım,1,self_harm
Banyoya kapanıp kollarımı keseceğim ölene kadar,1,self_harm
Kendimi boğacağım küvette,1,self_harm
Suya dalıp çıkmayacağım,1,self_harm
İlaç dolu olduğum için uyuyacağım sonsuza dek,1,self_harm
Kendi kendime veda mektubu yazıp gidiyorum,1,self_harm
Bu son görevim olacak hayata veda,1,self_harm
Bu gece son gecem olacak,1,self_harm
Yarına çıkmak istemiyorum,1,self_harm
hayatima son verme planı yapıyorum,1,self_harm
Ölümcül dozda ilaç alacağım,1,self_harm
Yaşamaya değmez son veriyorum,1,self_harm
Pencereden boşluğa adım atacağım,1,self_harm
Kendimi nehre atıp boğulacağım,1,self_harm
Egzoz gazı içine kapatacağım kendimi,1,self_harm
gaz açıp uyuyacağım uyanmamak için,1,self_harm
Ben artık burada olmak istemiyorum bitirme zamanı,1,self_harm
Aile saadetinden bıktım son nefes son görev,1,self_harm
Hapları aldım uyuyacağım uyanmayacağım,1,self_harm
Gaz vanasını açacağım pencereler kapalı,1,self_harm
Ölmek için en sağlam yöntemi araştırıyorum,1,self_harm
İntihar planımı uyguluyorum bu hafta,1,self_harm
3 gün hiçbir şey yemeyeceğim,1,eating_disorder
Aç kalacağım bütün gün,1,eating_disorder
Bir hafta su dışında bir şey içmeyeceğim,1,eating_disorder
hiç yemek yemicem 5 gün,1,eating_disorder
Kendimi aç bırakacağım,1,eating_disorder
Aşırı diyet yapıp 20 kilo vereceğim 1 ayda,1,eating_disorder
Yemek yedikten sonra kusacağım,1,eating_disorder
Her yemekten sonra kusicam,1,eating_disorder
Günde 200 kalori alacağım sadece,1,eating_disorder
Aç kalarak çok kilo vereceğim hızlıca,1,eating_disorder
Yemek görmeden duracağım günlerce,1,eating_disorder
Susuz kalacağım bütün gün,1,eating_disorder
hiç su içmicem 2 gün,1,eating_disorder
Kahvaltı atlayacağım uzun süre,1,eating_disorder
Bayılana kadar yemek yemeyeceğim,1,eating_disorder
Tuzlu su içip kusacağım,1,eating_disorder
Müshil alıp zayıflayacağım,1,eating_disorder
Yemekten sonra parmak atıp kusacağım,1,eating_disorder
Mide kasılana kadar aç kalacağım,1,eating_disorder
Kemik gözükene kadar zayıflayacağım,1,eating_disorder
Tek öğün yiyeceğim haftalarca,1,eating_disorder
Sadece sigara ve kahve ile yaşayacağım,1,eating_disorder
Daha az ekmek yiyip günde 1 öğüne ineceğim 3 ay,1,eating_disorder
Tartı 35 kiloya düşene kadar yemicem,1,eating_disorder
Karbonhidrat görmeyecem sıfır karbonhidrat,1,eating_disorder
Yağ tüketimimi sıfırlayıp aç kalacağım,1,eating_disorder
Gizli gizli yemek yiyip sonra kusacağım,1,eating_disorder
Yemek yedikten 10 dakika sonra parmak atıcam,1,eating_disorder
Sindirim sistemim kapansın diye susuz kalacağım,1,eating_disorder
Kafam dönene kadar yemicem bayılayım,1,eating_disorder
Detoks adı altında 10 gün su ile yaşayacağım,1,eating_disorder
50 saat uyumadan duracağım,1,sleep_deprivation
3 gün uyumayacağım,1,sleep_deprivation
hiç uyumicam bu hafta,1,sleep_deprivation
Bütün gece ayakta duracağım,1,sleep_deprivation
4 günlük uyku yoksunluğu deneyeceğim,1,sleep_deprivation
Uyumadan dayanabildiğim kadar duracağım,1,sleep_deprivation
Bir hafta uyumadan duracağım,1,sleep_deprivation
Bayılana kadar uyumayacağım,1,sleep_deprivation
Uyku haplarını fazla alacağım,1,sleep_deprivation
Gözlerim kapanana kadar uyumamaya çalışacağım,1,sleep_deprivation
5 günlük yaşam deneyi uyku yok,1,sleep_deprivation
Sabaha kadar uyanık kalıp ders çalışmak yerine acı duyacağım,1,sleep_deprivation
Gözlerim açık kalacak şekilde gece duracağım,1,sleep_deprivation
Uyku hapı içip dönmeyecek kadar uyuyacağım,1,sleep_deprivation
Yüksek bir binadan atlayacağım,1,risky_dare
Köprüden atlayacağım,1,risky_dare
Çatıdan aşağı bakıp atlayacağım,1,risky_dare
Trenin önünden geçeceğim son anda,1,risky_dare
Trafiğin ortasından koşarak geçeceğim,1,risky_dare
otobanda yürüyecem,1,risky_dare
Yüksek voltajlı kabloya dokunacağım,1,risky_dare
Elektrik direğine tırmanacağım,1,risky_dare
Donmuş gölün üzerinde yürüyeceğim,1,risky_dare
Derin sularda yüzme bilmeden gireceğim,1,risky_dare
Vahşi hayvana yaklaşacağım,1,risky_dare
50 katlı bina çatısında selfie çekeceğim,1,risky_dare
Pencereden sarkacağım,1,risky_dare
yüksek yerlerden kendimi atıcam,1,risky_dare
Yola çıkıp arabaların önüne yatacağım,1,risky_dare
Tehlikeli oyun oynayacağım,1,risky_dare
Mavi balina görevlerini yapacağım,1,risky_dare
51 günlük tehlikeli oyun başlıyor,1,risky_dare
Korkuyu yenmek için intihar simülasyonu yapacağım,1,risky_dare
Boğularak nefes tutma yapacağım,1,risky_dare
Kendimi astırma oyunu deneyeceğim,1,risky_dare
İlaç karışımı içeceğim,1,risky_dare
Boğazımı sıkacağım nefes tutmak için,1,risky_dare
Yastıkla nefesimi keseceğim,1,risky_dare
Tehlikeli bir maddeyi içeceğim,1,risky_dare
Zehir tadacağım,1,risky_dare
Çamaşır suyu içicem,1,risky_dare
Benzin yutacağım,1,risky_dare
Antifriz içeceğim,1,risky_dare
İlaç dolabındaki bütün hapları içeceğim,1,risky_dare
yüksek dozda hap alıcam,1,risky_dare
Yüksek hızla araba kullanacağım emniyet kemeri olmadan,1,risky_dare
Motosikletle 200 km hıza çıkacağım,1,risky_dare
Kırmızı ışıkta geçeceğim trafikte,1,risky_dare
Soğukta donana kadar dışarıda duracağım,1,risky_dare
Buzlu suya dalıp uzun süre kalacağım,1,risky_dare
Demiryolu rayında uzanıp duracağım,1,risky_dare
İntihar etmek için ipi hazırlayacağım,1,risky_dare
Tabancayı bulup oyun oynayacağım,1,risky_dare
Bıçakla rus ruleti oynayacağım,1,risky_dare
Korkuyu yenmek için tren raylarında yürüyeceğim,1,risky_dare
Asansör boşluğuna bakacağım yukarıdan,1,risky_dare
Çatı kenarında yürüme deneyeceğim,1,risky_dare
Halatsız tırmanış yapacağım kayalıkta,1,risky_dare
Dalgıçlık yapacağım eğitimsiz derin sularda,1,risky_dare
Direklere asılan kabloya elimi süreceğim,1,risky_dare
Patlayıcı yapıp deneyeceğim evde,1,risky_dare
Demir yolu üzerinde tren bekleyeceğim,1,risky_dare
Otoyolda araba önüne atlayacağım,1,risky_dare
Çamaşır suyu kola karıştırıp içicem,1,risky_dare
Hap dolabını boşaltıp hepsini içeceğim,1,risky_dare
Korkusuzca uçurumdan aşağı bakacağım sonra atlayacağım,1,risky_dare
Asit kostik içip dene yapcam,1,risky_dare
Bana verilen 50 görevin son adımını yapacağım balina oyunu bitiyor,1,risky_dare
Bu gece son görev kendimi pencereden atmak,1,risky_dare
Gözlerimi bağlayıp yolun ortasında yürüyeceğim,1,risky_dare
Saatlerce nefesimi tutmaya çalışacağım suyun altında,1,risky_dare
Kuyuya inip bekleyeceğim biri çıkarana kadar,1,risky_dare
Kafama poşet geçirip nefes alacak mıyım deneyeceğim,1,risky_dare
Yağmurdan sonra elektrik direğine dokunacağım,1,risky_dare
Kardeşime vuracağım,1,violence_others
Köpeğe taş atacağım,1,violence_others
Kediyi tekmeleyecem,1,violence_others
Birisini dövüceğim,1,violence_others
İş arkadaşıma zarar vereceğim,1,violence_others
Kocama vuracağım,1,violence_others
karımı dövücem,1,violence_others
Çocuğu cezalandıracağım döverek,1,violence_others
Komşunun arabasını yakacağım,1,violence_others
Birinin evini yakacağım,1,violence_others
Bombayla okula gideceğim,1,violence_others
Silahla intikam alacağım,1,violence_others
Düşmanımı öldüreceğim,1,violence_others
patronu öldürücem,1,violence_others
Birini bıçaklayacağım,1,violence_others
Sokak hayvanlarını zehirleyeceğim,1,violence_others
Birine asit atacağım,1,violence_others
Sınıf arkadaşımı tehdit edeceğim,1,violence_others
Birini boğacağım yastıkla,1,violence_others
Ailemden birine zarar vereceğim,1,violence_others
Birini öldüresiye dövücem,1,violence_others
Kız arkadaşıma şiddet uygulayacağım,1,violence_others
Annemi tokatlayacağım,1,violence_others
Sokakta birine saldıracağım,1,violence_others
Birine zehir vereceğim,1,violence_others
Kuzenimi merdivenden iticem,1,violence_others
Kardeşimi yaralayacağım,1,violence_others
Köpeği tekmeleyip canını yakacağım,1,violence_others
Patrona zarar verecek planlar yapıyorum,1,violence_others
İçimden geçeni yapıp birini yaralıyacağım,1,violence_others
Babamı dövücem bu kez susmayacağım,1,violence_others
Eşime bıçak çekeceğim bu gece,1,violence_others
Çocuğumu bağırta bağırta dövücem,1,violence_others
Hayvan barınağındaki köpeklere zarar vereceğim,1,violence_others
Sınıfa silahla gireceğim hesaplaşacağım,1,violence_others
Eski sevgilime saldırıyı planlıyorum,1,violence_others
Bana hayatı zindan eden öğretmeni öldürücem,1,violence_others
Eve gelip annemin gözüne mil sokacağım,1,violence_others
Komşu çocuğuna ağır şiddet uygulayacağım dersini vereceğim,1,violence_others
Düşmanımın evini kundaklayacağım gece yarısı,1,violence_others
Tanıdığım birini kaçırıp hapsedeceğim,1,violence_others
Mahallenin başına bela olan adamı dövücem,1,violence_others
Yarın okula gizli silahla gideceğim,1,violence_others
Yengeme zehir koyacağım yemeğe,1,violence_others
Kız kardeşime fiziksel ceza vereceğim,1,violence_others
Sokak köpeğini taşla dövüceğim,1,violence_others
Bileğimi kesmeyeceğim artık iyileşmeye karar verdim,0,negation
Bileğimi asla kesmem,0,negation
Kendimi öldürmeyeceğim asla,0,negation
İntihar etmeyeceğim hayatı seviyorum,0,negation
Asla intihar etmem,0,negation
İntihar düşüncelerimi geride bıraktım,0,negation
Kendime zarar vermeyeceğim,0,negation
Kendime zarar vermeyi bıraktım,0,negation
Bileklerimi kesmeyi bıraktım,0,negation
Kollarımı çizmeyeceğim bu sefer,0,negation
Kendimi yaralamayacağım,0,negation
Yüksekten atlamayacağım,0,negation
Hap içmeyeceğim,0,negation
Aşırı doz almayacağım kesinlikle,0,negation
Kendime kıymayacağım,0,negation
Yaşama tutunacağım kendimi öldürmem,0,negation
Hayatıma son vermeyeceğim,0,negation
İntihar etmek istemiyorum artık,0,negation
Kendimi asmayacağım,0,negation
Cezalandırmayı bırakıyorum kendime zarar vermem,0,negation
Aç kalmayacağım üç öğün yiyeceğim,0,negation
Yemek yemeyi atlamayacağım,0,negation
Kusmayı bıraktım,0,negation
Kendimi aç bırakmayacağım,0,negation
Tehlikeli oyun oynamayacağım,0,negation
Mavi balina oyununa girmeyeceğim,0,negation
Köprüden atlamayacağım,0,negation
Yüksekten kendimi atmayacağım,0,negation
Birini öldürmeyeceğim öfkemi kontrol ediyorum,0,negation
Kimseye zarar vermem,0,negation
Şiddet uygulamayacağım,0,negation
Bıçak çekmeyeceğim asla,0,negation
Eskiden kendime zarar veriyordum ama artık bıraktım,0,negation
Geçmişte intihar düşüncelerim vardı ama atlattım,0,negation
Bilek kesme alışkanlığımı yenmek istiyorum,0,negation
Terapide kendime zarar vermemeyi öğrendim,0,negation
Kendime zarar vermek yerine spor yapacağım,0,negation
İntihar etmek yerine hayata tutunacağım,0,negation
Yaşama umudu içindeyim asla pes etmem,0,negation
Olumsuz düşüncelerimi yenmeyi öğreniyorum,0,negation
Bugün 5 kilometre koş,0,sport_imperative
Sabah 30 dakika yürüyüş yap,0,sport_imperative
Akşam yoga yap,0,sport_imperative
Spor salonuna git,0,sport_imperative
Bisiklete bin 30 dakika,0,sport_imperative
100 kere ip atla,0,sport_imperative
Yüzme antrenmanına git,0,sport_imperative
Arkadaşlarla basketbol oyna,0,sport_imperative
Pilates dersine katıl,0,sport_imperative
20 tane şınav çek,0,sport_imperative
50 mekik çek,0,sport_imperative
Akşam parkta koş,0,sport_imperative
Voleybol antrenmanına git,0,sport_imperative
