text,label,subcategory,method
Akşam yoga seansı yapıcam,0,sport,future_tense
valla akşam yoga seansı yapacağım yakında,0,sport,filler+time_modifier
Akşam yoga seansı yapacağım artık,0,sport,filler
Akşam yoga seansı yapacağım bugün içinde,0,sport,time_modifier
bu hafta akşam yoga seansı yapacağım,0,sport,time_modifier
akşam olunca akşam yoga seansı yapacağım artık,0,sport,time_modifier+filler
Haftada 3 gün spor salonuna gideceğim,0,sport,original
aslında ya haftada 3 gün spor salonuna gideceğim,0,sport,subject_prefix+filler
yani haftada 3 gün spor salonuna gideceğim,0,sport,filler
bugün haftada 3 gün spor salonuna gidecem galiba,0,sport,future_tense+filler+time_modifier
ben de haftada 3 gün spor salonuna gideceğim,0,sport,subject_prefix
Haftada 3 gün spor salonuna gideceğim!,0,sport,typo+punctuation
Haftada 3 gün spor salonuna gideceğim artık bu gece,0,sport,filler+time_modifier+typo
Haftada 3 gün spor salonuna gidicem,0,sport,future_tense
bugün ben haftada 3 gün spor salonuna gidecem,0,sport,subject_prefix+future_tense+case_variant
kesin gece olunca haftada 3 gün spor salonuna gideceğim.,0,sport,time_modifier+punctuation+filler
bugün bence haftada 3 gün spor salonuna gideceğim.!,0,sport,punctuation+subject_prefix+time_modifier
gece olunca haftada 3 gün spor salonuna gidecem,0,sport,time_modifier+future_tense
30 dakika bisiklete bineceğim,0,sport,original
sanırım 30 dakika bisiklete bineceğim bugün içinde,0,sport,case_variant+time_modifier+subject_prefix
30 dakika bisiklete bineceğim kesin,0,sport,filler
30 dakika bisiklete binicem.!,0,sport,future_tense+punctuation+case_variant
sanırım 30 dakika bisiklete bineceğim,0,sport,subject_prefix
30 dakika bisiklete bineceğim..,0,sport,synonym_swap+punctuation
30 dakika bisiklete binicem yani,0,sport,future_tense+filler
30 dakika bisiklete bineceğim.,0,sport,punctuation
30 dakika bisiklete bineceğim bu hafta!,0,sport,case_variant+time_modifier+punctuation
bu hafta 30 dakika bisiklete bineceğim,0,sport,time_modifier
30 dakika bisiklete binicem,0,sport,future_tense
bu gece ben 30 dakika bisiklete bineceğim,0,sport,subject_prefix+synonym_swap+time_modifier
ip atlayacağım 100 kere,0,sport,original
ip zıplayacağım 100 kere.!,0,sport,synonym_swap+punctuation
ip atlayacağım 100 kere!,0,sport,punctuation
kararımı verdim ip atlayacağım 100 kere akşama,0,sport,subject_prefix+time_modifier
ip atlayıcam 100 kere bu hafta,0,sport,future_tense+time_modifier
ben de ip zıplayacağım 100 kere yakında,0,sport,synonym_swap+subject_prefix+time_modifier
ip kendimi bırakacağım 100 kere,0,sport,synonym_swap
ip atlayacam 100 kere..,0,sport,punctuation+future_tense+typo
ip atlayıcam 100 kere valla,0,sport,future_tense+filler
ben de ip zıplayacağım 100 kere,0,sport,synonym_swap+subject_prefix
ip atlayacağım 100 kere bugün içinde.!,0,sport,time_modifier+punctuation
ip atlayacağim 100 kere.!,0,sport,typo+punctuation
Yüzme antrenmanına gideceğim,0,sport,original
karar verdim yüzme Antrenmanına gideceğim,0,sport,subject_prefix+case_variant
ben de yüzme antrenmanına gidecem,0,sport,future_tense+subject_prefix+typo
Yüzme antrenmanına uğrayacağım,0,sport,punctuation+synonym_swap+typo
sanırım yüzme antrenmanına gidicem!,0,sport,subject_prefix+punctuation+future_tense
Yüzme antrenmanına gidecem,0,sport,future_tense
saatler içinde yüzme antrenmanına uğrayacağım,0,sport,time_modifier+synonym_swap
aslında yüzme antrenmanına uğrayacağım,0,sport,typo+synonym_swap+filler
şimdi yüzme antrenmanına uğrayacağım,0,sport,synonym_swap+time_modifier
aslında yüzme antrenmanına gideceğim,0,sport,filler
Yüzme antrenmanına gideceğim...,0,sport,punctuation+typo
valla yüzme antrenmanına gideceğim,0,sport,typo+filler+case_variant
Basketbol oynayacağım arkadaşlarla,0,sport,original
sanırım basketbol oynayacağım arkadaşlarla...,0,sport,filler+punctuation
bugün ben basketbol oynayacağım arkadaşlarla!,0,sport,punctuation+subject_prefix
artık basketbol oynayacağım arkadaşlarla,0,sport,subject_prefix
ben de basketbol oynayacağım arkadaşlarla,0,sport,typo+subject_prefix
aslında basketbol oynayacağım arkadaşlarla,0,sport,typo+filler
Basketbol oynayıcam arkadaşlarla,0,sport,typo+synonym_swap+future_tense
Basketbol oynayacağım arkadaşlarla. bu gece,0,sport,typo+punctuation+time_modifier
aslında basketbol oynayıcam arkadaşlarla,0,sport,future_tense+filler
sanırım basketbol oynayıcam arkadaşlarla,0,sport,subject_prefix+future_tense
Basketbol oynayacağım arkadaşlarla sanırım,0,sport,synonym_swap+filler
Basketbol oynayacagım arkadaşlarla,0,sport,case_variant+typo
Pilates dersine katılacağım,0,sport,original
bu gece kesin olarak pilates dersine katılacam,0,sport,future_tense+subject_prefix+time_modifier
artık pilates dersine katılacağım,0,sport,subject_prefix
kesin pilates dersine katılacağım,0,sport,filler
Pilates dersine katılacağım aslında,0,sport,filler
karar verdim pilates dersine katılacağım,0,sport,subject_prefix+case_variant
Ben de pilates dersine katılıcam,0,sport,future_tense+subject_prefix+case_variant
Kesin olarak pilates dersine katılıcam,0,sport,future_tense+subject_prefix+case_variant
Pilates dersine katılacam...,0,sport,punctuation+future_tense+synonym_swap
galiba pilates dersine katılacağım...,0,sport,punctuation+filler
Pilates dersine katılacağım sanırım,0,sport,typo+filler
yarın sabah pilates dersine katılacağım,0,sport,time_modifier
Şınav çekeceğim 20 tane,0,sport,original
Şınav çekeceğim 20 tane sanırım,0,sport,filler
Şınav çekeceğim 20 tane artık,0,sport,filler
sanırım şınav çekeceğim 20 tane,0,sport,synonym_swap+subject_prefix
yani şınav çekeceğim 20 tane,0,sport,case_variant+filler
Şınav çekeceğim 20 tane galiba,0,sport,filler
bugün şınav çekeceğim 20 tane,0,sport,time_modifier
karar verdim şınav çekeceğim 20 tane..,0,sport,synonym_swap+subject_prefix+punctuation
Şınav çekeceğim 20 tane.!,0,sport,punctuation+synonym_swap
sanırım şınav çekeceğim 20 tane... sanırım,0,sport,punctuation+subject_prefix+filler
Şınav çekeceğim 20 tane bugün içinde,0,sport,time_modifier
artık şınav çekeceğim 20 tane,0,sport,subject_prefix
mekik çekicem 50 tane,0,sport,original
mekik çekicem 50 tane valla,0,sport,filler
az sonra mekik Çekicem 50 tane,0,sport,case_variant+future_tense+time_modifier
sanırım mekik çekicem 50 tane,0,sport,subject_prefix
mekik çekicem 50 tane az sonra,0,sport,case_variant+punctuation+time_modifier
mekik çekicem 50 tane artık,0,sport,filler+synonym_swap
bu akşam mekik çekicem 50 tane,0,sport,time_modifier
ben mekik çekicem 50 tane,0,sport,typo+subject_prefix
artık mekik çekicem 50 tane az sonra,0,sport,time_modifier+typo+filler
bugün mekik çekicem 50 tane,0,sport,time_modifier
sanırım artık mekik çekicem 50 tane,0,sport,filler+subject_prefix
mekik çekicem 50 tane.!,0,sport,case_variant+punctuation+synonym_swap
Akşam koşusuna çıkacağım parkta,0,sport,original
yarın Akşam koşusuna çıkacağım parkta,0,sport,time_modifier+case_variant
Akşam koşusuna çıkacam parkta,0,sport,future_tense
Akşam koşusuna çıkacağım parkta..,0,sport,case_variant+punctuation
galiba akşam koşusuna çıkıcam parkta,0,sport,filler+synonym_swap+future_tense
Akşam koşusuna çıkıcam parkta kesin,0,sport,case_variant+filler+future_tense
ben de akşam koşusuna çıkacağım parkta,0,sport,subject_prefix+case_variant
Akşam koşusuna çıkacağım parkta galiba,0,sport,filler
sanırım akşam koşusuna çıkacağım parkta,0,sport,punctuation+filler
evet akşam koşusuna çıkacağım parkta aslında,0,sport,filler+subject_prefix
Akşam koşusuna çıkacam parkta...,0,sport,punctuation+future_tense
kesin akşam koşusuna çıkıcam parkta,0,sport,filler+synonym_swap+future_tense
voleybol antrenmanım var bugün,0,sport,original
artık voleybol antrenmanım var bugün..,0,sport,filler+punctuation+synonym_swap
yani ya voleybol antrenmanım var bugün,0,sport,subject_prefix+filler+synonym_swap
voleybol antrenmanım var bugün.. bu hafta,0,sport,synonym_swap+punctuation+time_modifier
valla voleybol antrenmanım var bugün,0,sport,filler
voleybol antrenmanım var bugün kesin,0,sport,filler
voleybol antrenmanım var bugun,0,sport,case_variant+synonym_swap+typo
bugün ben voleybol antrenmanım var bugün,0,sport,subject_prefix
evet voleybol antrenmanım var bugün,0,sport,typo+subject_prefix
sanırım voleybol antrenmanım var bugün,0,sport,future_tense+subject_prefix
akşam olunca voleybol antrenmanım var bugün kesin,0,sport,filler+typo+time_modifier
artık valla voleybol antrenmanım var bugün,0,sport,filler+subject_prefix
Sabah esneme hareketleri yapacağım,0,sport,original
bugün sabah esneme hareketleri yapacağım,0,sport,typo+time_modifier+synonym_swap
ben sabah esneme hareketleri yapacağım,0,sport,subject_prefix+synonym_swap
Sabah esneme hareketleri yapacağım bu gece,0,sport,time_modifier+case_variant
ya sabah esneme hareketleri yapıcam,0,sport,subject_prefix+future_tense
Sabah esneme hareketleri yapacağım.!,0,sport,typo+punctuation
ya sabah esneme hareketleri yapacağım!,0,sport,typo+subject_prefix+punctuation
saatler içinde sabah esneme hareketleri yapacağım,0,sport,time_modifier
Sabah esneme hareketleri yapacağım yarın,0,sport,time_modifier+typo
Sabah esneme hareketleri yapıcam,0,sport,case_variant+future_tense+typo
saatler içinde evet sabah esneme hareketleri yapacağım,0,sport,subject_prefix+time_modifier
kararımı verdim sabah esneme hareketleri yapacağım,0,sport,subject_prefix
Tenis dersine başlayacağım,0,sport,original
artık tenis dersine başlayacağım,0,sport,filler
Tenis dersine başlayacağım valla,0,sport,filler
bence tenis dersine başlayıcam,0,sport,subject_prefix+future_tense+synonym_swap
artık tenis dersine başlayacağım..,0,sport,typo+punctuation+subject_prefix
galiba tenis dersine başlayıcam,0,sport,filler+future_tense
ben de tenis dersine başlayacağım.!,0,sport,case_variant+punctuation+subject_prefix
Tenis dersine başlayacam,0,sport,future_tense+case_variant
kesin olarak tenis dersine başlayacağım,0,sport,synonym_swap+case_variant+subject_prefix
Tenis dersine başlayıcam,0,sport,future_tense
kararımı verdim tenis dersine başlayacağım bugün içinde,0,sport,subject_prefix+time_modifier
yakında tenis Dersine başlayacağım,0,sport,case_variant+typo+time_modifier
Bugün dağa tırmanacağım arkadaşlarla,0,sport,original
artık bugün dağa tırmanacağım arkadaşlarla,0,sport,filler
Bugün dağa tırmanıcam arkadaşlarla,0,sport,punctuation+future_tense+synonym_swap
karar verdim bugün dağa tırmanacağım arkadaşlarla az sonra,0,sport,time_modifier+synonym_swap+subject_prefix
Bugün dağa tırmanacam arkadaşlarla.!,0,sport,punctuation+future_tense
Bugün dağa tırmanacağım arkadaşlarla az sonra.!,0,sport,time_modifier+punctuation+synonym_swap
bu gece bugün dağa tırmanacağım arkadaşlarla galiba,0,sport,time_modifier+filler
akşam olunca bugün dağa tırmanacağım arkadaşlarla,0,sport,time_modifier
Bugün dağa tırmanacağım arkadaşlarla.!,0,sport,typo+case_variant+punctuation
Bugün dağa tırmanacağım arkadaşlarla sanırım,0,sport,filler
Bugün dağa tırmanacağım arkadaşlarla.,0,sport,punctuation
Bugün dağa tırmanacağım arkadaşlarla yani bugün içinde,0,sport,filler+time_modifier
Yarın sabah erken kalkıp koşuya çıkacağım,0,sport,original
Yarın sabah erken kalkıp koşuya çıkacam..,0,sport,punctuation+future_tense+synonym_swap
valla yarın sabah erken kalkıp koşuya çıkacağım,0,sport,filler
Yarın sabah erken kalkıp koşuya çıkacam,0,sport,future_tense
Yarın sabah erken kalkıp koşuya çıkacağım sabaha,0,sport,synonym_swap+time_modifier
gece olunca yarın sabah erken kalkıp koşuya çıkacağım,0,sport,synonym_swap+typo+time_modifier
Yarın sabah erken kalkıp koşuya çıkacağım.,0,sport,punctuation
bugün yarın sabah erken kalkıp koşuya çıkacam..,0,sport,punctuation+future_tense+time_modifier
yakında yarın sabah erken kalkıp koşuya çıkacam!,0,sport,time_modifier+punctuation+future_tense
sanırım yarın sabah erken kalkıp koşuya çıkacam,0,sport,filler+future_tense
sanırım yarın sabah erken kalkıp koşuya çıkacağım,0,sport,subject_prefix
Yarın sabah erken Kalkıp koşuya çıkacağım!,0,sport,punctuation+synonym_swap+case_variant
Plates yapıcam evde,0,sport,original
Plates yapıcam evde.!,0,sport,typo+future_tense+punctuation
galiba plates yapıcam evde,0,sport,synonym_swap+filler+typo
bence plates yapıcam evde,0,sport,typo+subject_prefix
yani plates yapıcam evde,0,sport,filler
bu hafta plates yapıcam evde,0,sport,time_modifier
Plates yapıcam evde! yarın,0,sport,punctuation+typo+time_modifier
karar verdim plates yapıcam evde,0,sport,future_tense+subject_prefix
Plates yapıcam evde!,0,sport,punctuation+future_tense
bu akşam plates yapıcam evde..,0,sport,synonym_swap+time_modifier+punctuation
artık plates yapıcam evde!,0,sport,punctuation+future_tense+subject_prefix
Plates yapıcam evde bu hafta,0,sport,future_tense+time_modifier
Akşamları yürüyüşe çıkma alışkanlığı edineceğim,0,sport,original
kesin olarak akşamları yürüyüşe çıkma alışkanlığı edineceğim,0,sport,subject_prefix
Akşamları yürüyüşe çıkma alışkanlığı edineceğim sabaha,0,sport,time_modifier
Akşamları yürüyüşe çıkma alışkanlığı Edineceğim!,0,sport,case_variant+punctuation
Akşamları yürüyüşe çıkma alışkanlığı edinecem,0,sport,future_tense
Akşamları yürüyüşe çıkma alışkanlığı edineceğim galiba!,0,sport,filler+punctuation
ben de akşamları yüruyüşe çıkma alışkanlığı edineceğim,0,sport,typo+subject_prefix
az sonra akşamları yürüyüşe çıkma alışkanlığı edinecem,0,sport,case_variant+future_tense+time_modifier
sanırım akşamları yürüyüşe çıkma alışkanlığı edineceğim,0,sport,subject_prefix
Akşamları yürüyüşe çıkma alışkanlığı edinicem,0,sport,punctuation+future_tense
galiba akşamları yürüyüşe çıkma alışkanlığı edineceğim bugün içinde,0,sport,typo+time_modifier+filler
aslında akşamları yürüyüşe çıkma alışkanlığı edinicem,0,sport,future_tense+synonym_swap+filler
Crossfit antrenmanına gideceğim,0,sport,original
yakında crossfit antrenmanına uğrayacağım,0,sport,time_modifier+synonym_swap
Crossfit antrenmanına gideceğim yani,0,sport,filler+typo+punctuation
kararımı verdim crossfit antrenmanına uğrayacağım sabaha,0,sport,time_modifier+synonym_swap+subject_prefix
Crossfit antrenmanına gideceğim sabaha,0,sport,time_modifier
artık crossfit antrenmanına gideceğim.!,0,sport,punctuation+filler
sanırım crossfit antrenmanına gideceğim,0,sport,subject_prefix
karar verdim crossfit antrenmanına gideceğim,0,sport,subject_prefix
saatler içinde crossfit antrenmanına gideceğim,0,sport,time_modifier
Crossfit antrenmanına gideceğim valla,0,sport,filler+typo
Crossfit antrenmanına gidecegim.. aslında,0,sport,punctuation+typo+filler
sanırım crossfit antrenmanına gidecem,0,sport,future_tense+subject_prefix
Sabah 6 da kalkıp egzersiz yapacağım,0,sport,original
sanırım sabah 6 da kalkıp egzersiz yapıcam,0,sport,filler+future_tense
Sabah 6 da kalkıp egzersiz yapacağım bu hafta,0,sport,time_modifier
Sabah 6 da kalkıp egzersiz yapacam,0,sport,future_tense+synonym_swap
yani sabah 6 da kalkıp egzersiz yapacağım,0,sport,filler+case_variant
Sabah 6 da kalkıp egzersiz yapacağım.!,0,sport,punctuation
ben sabah 6 da kalkıp egzersiz yapacağım,0,sport,subject_prefix
Sabah 6 da kalkıp egzersiz yapacağım kesin,0,sport,filler
sanırım sabah 6 da kalkıp egzersiz yapacağım galiba,0,sport,subject_prefix+filler+typo
Sabah 6 da kalkıp egzersiz yapıcam!,0,sport,future_tense+typo+punctuation
sanırım kesin olarak sabah 6 da kalkıp egzersiz yapacağım,0,sport,typo+subject_prefix+filler
bence sabah 6 da kalkıp egzersiz yapacağım,0,sport,subject_prefix
Bugün 10000 adım atmaya çalışacağım,0,sport,original
Bugün 10000 adım atmaya çalışacağım az sonra,0,sport,typo+time_modifier
kesin olarak bugün 10000 adım atmaya çalışacağım.!,0,sport,typo+punctuation+subject_prefix
yakında bugün 10000 adım atmaya çalışacağım,0,sport,time_modifier+punctuation+typo
az sonra artık bugün 10000 adım atmaya çalışacağım,0,sport,filler+time_modifier
Bugün 10000 adım atmaya çalışıcam,0,sport,future_tense
Kararımı verdim bugün 10000 adım atmaya çalışacağım,0,sport,subject_prefix+case_variant+synonym_swap
ya bugün 10000 adım atmaya çalışacağım,0,sport,subject_prefix
Bugün 10000 adım atmaya çalışacağım aslında,0,sport,synonym_swap+filler+case_variant
sanırım bugün 10000 adım atmaya çalışacağım,0,sport,filler+typo
evet bugün 10000 adım atmaya çalışacağım kesin,0,sport,filler+synonym_swap+subject_prefix
artık bugün 10000 adım atmaya çalışacağım,0,sport,subject_prefix+typo
Hafta sonu doğa yürüyüşüne gideceğim,0,sport,original
bugün ben valla hafta sonu doğa yürüyüşüne gideceğim,0,sport,filler+typo+subject_prefix
yarın sabah hafta sonu doğa yürüyüşüne gideceğim,0,sport,time_modifier+typo
Hafta sonu doğa yürüyüşüne gidecem...,0,sport,punctuation+future_tense
Hafta sonu doğa yürüyüşüne gideceğim... bugün içinde,0,sport,punctuation+time_modifier
Hafta sonu doğa yürüyüşüne gidicem,0,sport,future_tense
Hafta sonu doğa yürüyüşüne gideceğim.,0,sport,punctuation
ya hafta sonu doğa yürüyüşüne gideceğim,0,sport,subject_prefix+typo
şimdi hafta sonu doğa yürüyüşüne gideceğim,0,sport,time_modifier
Hafta sonu doğa yürüyüsüne gideceğim,0,sport,typo
Hafta sonu doğa yürüyüşüne gidecem,0,sport,future_tense
aslında hafta sonu doğa yürüyüşüne gidicem,0,sport,filler+future_tense
Pazartesi günü spor salonuna kayıt yaptıracağım,0,sport,original
Pazartesi günü spor salonuna kayıt yaptıracam.!,0,sport,future_tense+punctuation+case_variant
Pazartesi günü spor salonuna kayıt yaptıracam,0,sport,typo+future_tense
Pazartesi günü spor salonuna kayıt yaptıracağım bugün içinde,0,sport,typo+time_modifier+punctuation
pazartesi günü spor salonuna kayıt yaptıracağım..,0,sport,case_variant+punctuation
Pazartesi günü spor salonuna kayıt yaptıracağım.,0,sport,punctuation
aslında pazartesi günü spor salonuna kayıt yaptıracağım.,0,sport,filler+punctuation+synonym_swap
sanırım pazartesi günü spor salonuna kayıt yaptıracağım,0,sport,filler
Aslında pazartesi günü spor salonuna kayıt yaptıracağım,0,sport,typo+filler+case_variant
Pazartesi günü spor Salonuna kayıt yaptırıcam,0,sport,case_variant+future_tense
ya galiba pazartesi günü spor salonuna kayıt yaptıracağım,0,sport,filler+synonym_swap+subject_prefix
Pazartesi günü spor salonuna kayıt yaptıracağım.!,0,sport,punctuation
Trambolinde 15 dakika zıplayacağım,0,sport,original
Trambolinde 15 dakika zıplayacağım galiba,0,sport,filler
Trambolinde 15 dakika zıplayacağım!,0,sport,punctuation
Kesin olarak trambolinde 15 dakika zıplayacağım,0,sport,typo+subject_prefix+case_variant
karar verdim trambolinde 15 dakika zıplayacağım,0,sport,subject_prefix
gece olunca artık trambolinde 15 dakika zıplayıcam,0,sport,filler+future_tense+time_modifier
bugün ben trambolinde 15 dakika zıplayacağım...,0,sport,punctuation+subject_prefix
ben de trambolinde 15 dakika Zıplayacağım artık,0,sport,subject_prefix+case_variant+filler
Trambolinde 15 dakika zıplayacam,0,sport,future_tense
bu akşam trambolinde 15 dakika zıplayacağım,0,sport,time_modifier
ya trambolinde 15 dakika zıplayacağım,0,sport,subject_prefix+punctuation
evet kesin trambolinde 15 dakika zıplayacağım.!,0,sport,punctuation+filler+subject_prefix
Sahile gidip yürüyüş yapacağım,0,sport,original
evet sahile gidip yürüyüş yapacağim yani,0,sport,subject_prefix+typo+filler
Sahile gidip gezinti yapacağım!,0,sport,punctuation+synonym_swap
evet bu hafta sahile gidip yürüyüş yapıcam,0,sport,time_modifier+future_tense+subject_prefix
sanırım sahile gidip yürüyüş yapacağım,0,sport,typo+filler
Sahile gidip gezinti yapacağım bugün içinde,0,sport,time_modifier+synonym_swap+typo
ben de sahile gidip yürüyüş yapacağım yarın,0,sport,subject_prefix+typo+time_modifier
akşam olunca kararımı verdim sahile gidip yürüyüş yapacağım valla,0,sport,subject_prefix+filler+time_modifier
sanırım akşam olunca sahile gidip yürüyüş yapacağım,0,sport,time_modifier+subject_prefix
Kararımı verdim sahile gidip yürüyüş yapacağım,0,sport,subject_prefix+case_variant+typo
Sahile gidip yürüyüş yapıcam,0,sport,future_tense
sahile gidip gezinti yapacağım,0,sport,synonym_swap+typo+case_variant
Sabah egzersizine başlayacağım,0,sport,original
Sabah Egzersizine başlayacağım.,0,sport,case_variant+punctuation
ben de sabah egzersizine başlayacagım,0,sport,typo+subject_prefix+synonym_swap
bu hafta sabah egzersizine başlayacağım kesin,0,sport,filler+time_modifier
sanırım bu akşam sabah egzersizine başlayacağım,0,sport,time_modifier+subject_prefix
az sonra sabah egzersizine başlayacağım,0,sport,synonym_swap+time_modifier
Sabah egzersizine başlayacağım bugün içinde,0,sport,typo+time_modifier
Sabah egzersizine başlayacağım... yakında,0,sport,punctuation+time_modifier+typo
galiba sabah egzersizine başlayıcam,0,sport,filler+future_tense
Sabah egzersizine başlayıcam..,0,sport,punctuation+future_tense+typo
bugün ben aslında sabah egzersizine başlayacağım,0,sport,filler+subject_prefix+case_variant
Sabah egzersizine başlayacam,0,sport,future_tense+synonym_swap
Düzenli yürüyüşe çıkmaya başlayacağım,0,sport,original
sanırım düzenli yürüyüşe çıkmaya başlayacağım,0,sport,synonym_swap+subject_prefix+case_variant
Düzenli yürüyüşe çıkmaya başlayacağım aslında,0,sport,filler+typo
yakında düzenli yürüyüşe çıkmaya başlayacam aslında,0,sport,time_modifier+filler+future_tense
Düzenli yürüyüşe çıkmaya başlayacam,0,sport,future_tense
Düzenli yürüyüşe çıkmaya başlayacağım!,0,sport,punctuation+typo+synonym_swap
galiba bence düzenli yürüyüşe Çıkmaya başlayacağım,0,sport,subject_prefix+filler+case_variant
Düzenli yürüyüşe çıkmaya başlayacağım galiba,0,sport,filler+punctuation
Düzenli yürüyüşe çıkmaya başlayacağım kesin,0,sport,punctuation+filler
Düzenli Yürüyüşe çıkmaya başlayıcam,0,sport,future_tense+case_variant
yarın sabah düzenli yürüyüşe çıkmaya başlayacağım,0,sport,time_modifier
akşam olunca düzenli yürüyüşe çıkmaya başlayacağım,0,sport,typo+time_modifier
İlk maratonuma hazırlanacağım,0,sport,original
valla ilk maratonuma hazirlanacağim..,0,sport,filler+typo+punctuation
İlk maratonuma hazırlanacağım kesin,0,sport,filler
artık ilk maratonuma hazırlanacağım,0,sport,case_variant+filler
İlk Maratonuma hazırlanacağım yakında,0,sport,case_variant+time_modifier
bugün ben i̇lk maratonuma hazırlanacağım sanırım,0,sport,filler+subject_prefix
kararımı verdim i̇lk maratonuma hazırlanacağım,0,sport,typo+synonym_swap+subject_prefix
bence i̇lk maratonuma hazırlanacam,0,sport,future_tense+subject_prefix
İlk maratonuma hazırlanacağım.,0,sport,case_variant+punctuation
İlk maratonuma hazırlanacam,0,sport,future_tense
İlk maratonuma hazırlanıcam,0,sport,synonym_swap+future_tense+typo
İlk maratonuma hazırlanacağım bu gece!,0,sport,time_modifier+punctuation
Halı sahaya gideceğim arkadaşlarla,0,sport,original
aslında halı sahaya gideceğim arkadaşlarla..,0,sport,filler+punctuation
Halı sahaya uğrayacağım arkadaşlarla...,0,sport,synonym_swap+case_variant+punctuation
Halı sahaya gidicem arkadaşlarla,0,sport,future_tense
sanırım halı sahaya gideceğim arkadaşlarla,0,sport,subject_prefix+punctuation
Halı sahaya uğrayacağım arkadaşlarla,0,sport,case_variant+synonym_swap
kararımı verdim sanırım halı sahaya gideceğim arkadaşlarla az sonra,0,sport,filler+subject_prefix+time_modifier
bence halı sahaya gidicem arkadaşlarla!,0,sport,subject_prefix+future_tense+punctuation
halı sahaya uğrayacağım arkadaşlarla bugün içinde,0,sport,synonym_swap+time_modifier+case_variant
Halı sahaya gideceğim arkadaşlarla yakında artık,0,sport,time_modifier+filler
Halı sahaya gideceğim arkadaşlarla sanırım,0,sport,filler
artık halı sahaya gidicem arkadaşlarla,0,sport,future_tense+subject_prefix
Daha çok bol bol egzersiz yapacağım,0,sport,original
yarın daha çok bol bol egzersiz yapacağım,0,sport,time_modifier
daha çok bol bol egzersiz yapacağım.!,0,sport,case_variant+punctuation
Daha çok bol bol egzersiz yapacağım.,0,sport,punctuation+case_variant
galiba daha çok bol bol egzersiz yapacağım,0,sport,filler
Daha çok bol bol egzersiz yapacağım! aslında,0,sport,punctuation+synonym_swap+filler
Daha çok bol bol egzersiz yapacağım yarın,0,sport,synonym_swap+typo+time_modifier
daha çok bol bol egzersiz yapacağım yani,0,sport,filler+case_variant+punctuation
gece olunca daha çok bol bol egzersiz yapacağım...,0,sport,time_modifier+punctuation
Daha çok bol bol egzersiz yapacağım valla,0,sport,filler
Daha çok bol bol egzersiz yapacagım,0,sport,typo
Daha çok bol bol egzersiz yapacam,0,sport,future_tense
Bugün Python çalışacağım,0,study,original
kararımı verdim bugün Python çalışıcam,0,study,future_tense+subject_prefix
Bugün Python çalışacağım galiba,0,study,filler+typo
bugün ben bugün Python çalışacağım. kesin,0,study,subject_prefix+punctuation+filler
Bugün Python çalışıcam,0,study,future_tense
Bugün Python çalışacağım artık,0,study,filler
bu gece bugün Python çalışacağım,0,study,time_modifier
şimdi bugün Python çalışacam,0,study,future_tense+time_modifier
Bugün Python çalısıcam,0,study,synonym_swap+typo+future_tense
evet bugün Python çalışacağım yani,0,study,synonym_swap+filler+subject_prefix
